"term","Smoking","Vaping","Dabbing","Edibles","Sublingual","Topical","Pill"
"female","0.6 (0.53-0.68)***","0.89 (0.84-0.95)**","0.7 (0.63-0.79)***","1.34 (1.21-1.47)***","1.25 (1.06-1.48)**","2.67 (2.28-3.13)***","1.19 (1-1.42)."
"age_cat18-25","2.34 (1.72-3.19)***","0.38 (0.31-0.47)***","1.75 (1.45-2.11)***","0.86 (0.71-1.05)","1.37 (0.71-2.63)","1.42 (0.93-2.15)","0.81 (0.46-1.42)"
"age_cat26-34","1.89 (1.4-2.54)***","0.25 (0.2-0.31)***","1.28 (1.07-1.53)**","0.68 (0.54-0.85)**","1.65 (0.84-3.23)","2 (1.32-3.02)**","0.83 (0.45-1.55)"
"age_cat35+","1.29 (0.95-1.77)","0.11 (0.09-0.14)***","0.53 (0.43-0.65)***","0.5 (0.42-0.61)***","2.08 (1.13-3.82)*","2.63 (1.73-3.99)***","0.98 (0.56-1.73)"
"raceBlack","2.66 (2.07-3.4)***","0.39 (0.33-0.45)***","0.42 (0.34-0.51)***","0.56 (0.5-0.64)***","0.36 (0.25-0.51)***","0.6 (0.47-0.78)***","0.59 (0.44-0.78)***"
"raceNative Am","1.18 (0.64-2.17)","0.68 (0.49-0.96)*","1.2 (0.82-1.75)","0.76 (0.51-1.12)","1.66 (0.74-3.74)","1.08 (0.6-1.94)","1.47 (0.73-2.98)"
"raceNative Hawaiian","2.07 (0.52-8.29)","1.18 (0.41-3.33)","1.42 (0.39-5.13)","0.51 (0.19-1.35)","0.12 (0.03-0.43)**","1.19 (0.2-6.99)","0.36 (0.07-1.78)"
"raceAsian","0.83 (0.52-1.33)","0.72 (0.53-0.98)*","0.72 (0.43-1.18)","0.73 (0.51-1.05).","1.32 (0.67-2.62)","0.69 (0.34-1.38)","0.81 (0.38-1.74)"
"raceMultiple","1.41 (1.04-1.91)*","0.99 (0.83-1.19)","1.1 (0.9-1.34)","1.05 (0.83-1.33)","1.09 (0.73-1.63)","1.58 (1.23-2.02)***","1.44 (0.71-2.92)"
"raceHispanic","1.26 (1.04-1.52)*","0.9 (0.79-1.03)","0.93 (0.83-1.05)","0.77 (0.68-0.87)***","0.94 (0.76-1.16)","1.29 (0.99-1.68).","0.95 (0.68-1.33)"
"educHS grad/GED","1.01 (0.77-1.32)","1.15 (0.97-1.36).","1.12 (0.9-1.38)","1.22 (0.99-1.5).","1.32 (0.76-2.31)","0.95 (0.6-1.5)","0.9 (0.49-1.68)"
"educSome college","0.65 (0.49-0.85)**","1.4 (1.17-1.68)***","0.93 (0.75-1.16)","1.95 (1.61-2.38)***","2 (1.15-3.49)*","1.32 (0.87-1.99)","1.12 (0.57-2.2)"
"educCollege grad","0.44 (0.32-0.6)***","1.44 (1.21-1.71)***","0.56 (0.45-0.69)***","3.59 (2.89-4.46)***","2.85 (1.64-4.96)***","1.05 (0.66-1.67)","1.5 (0.83-2.71)"
"income$20-49k","0.8 (0.64-1).","1.06 (0.95-1.2)","1.04 (0.91-1.2)","1.17 (1.04-1.32)*","1.21 (0.9-1.61)","0.93 (0.75-1.14)","1.28 (0.93-1.76)"
"income$50-74k","0.66 (0.55-0.8)***","1.05 (0.91-1.21)","0.8 (0.69-0.92)**","1.22 (1.04-1.42)*","1.01 (0.81-1.25)","0.89 (0.72-1.11)","0.81 (0.55-1.21)"
"income$75k+","0.51 (0.4-0.66)***","1.11 (0.93-1.32)","0.55 (0.44-0.68)***","1.73 (1.45-2.06)***","1 (0.75-1.32)","0.83 (0.64-1.09)","1.12 (0.79-1.57)"
"geographySmall metro","1.07 (0.93-1.24)","1.01 (0.91-1.13)","1.22 (1.09-1.38)**","1 (0.91-1.11)","1.06 (0.87-1.3)","1.03 (0.87-1.22)","1.06 (0.81-1.38)"
"geographyRural","1.24 (1.03-1.49)*","1.01 (0.87-1.19)","1.32 (1.13-1.53)***","0.88 (0.77-1).","1.02 (0.81-1.29)","1.09 (0.91-1.31)","0.93 (0.64-1.34)"
